"","Ligand","category","db","PMID"
"2","col1a1","Collagens","matrisome","36399478"
"3","col1a2","Collagens","matrisome","36399478"
"4","col1a1","Collagens","matrisome","36399478"
"5","col6a3","Collagens","matrisome","36399478"
"6","col1a2","Collagens","matrisome","36399478"
"7","col3a1","Collagens","matrisome","36399478"
"8","col3a1","Collagens","matrisome","36399478"
"9","col2a1","Collagens","matrisome","36399478"
"10","col4a2","Collagens","matrisome","36399478"
"11","col6a1","Collagens","matrisome","36399478"
"12","col4a2","Collagens","matrisome","36399478"
"13","col2a1","Collagens","matrisome","36399478"
"14","col6a2","Collagens","matrisome","36399478"
"15","col6a1","Collagens","matrisome","36399478"
"16","col4a1","Collagens","matrisome","36399478"
"17","col4a1","Collagens","matrisome","36399478"
"18","col5a2","Collagens","matrisome","36399478"
"19","col12a1","Collagens","matrisome","36399478"
"20","col14a1","Collagens","matrisome","36399478"
"21","col12a1","Collagens","matrisome","36399478"
"22","col22a1","Collagens","matrisome","36399478"
"23","col5a3","Collagens","matrisome","36399478"
"24","col7a1","Collagens","matrisome","36399478"
"25","col14a1","Collagens","matrisome","36399478"
"26","col5a2","Collagens","matrisome","36399478"
"27","col6a2","Collagens","matrisome","36399478"
"28","col4a4","Collagens","matrisome","36399478"
"29","col5a1","Collagens","matrisome","36399478"
"30","col27a1","Collagens","matrisome","36399478"
"31","col4a3","Collagens","matrisome","36399478"
"32","col11a2","Collagens","matrisome","36399478"
"33","col11a1","Collagens","matrisome","36399478"
"34","col4a6","Collagens","matrisome","36399478"
"35","col7a1","Collagens","matrisome","36399478"
"36","col18a1","Collagens","matrisome","36399478"
"37","col4a4","Collagens","matrisome","36399478"
"38","col4a3","Collagens","matrisome","36399478"
"39","col11a2","Collagens","matrisome","36399478"
"40","col16a1","Collagens","matrisome","36399478"
"41","col5a1","Collagens","matrisome","36399478"
"42","col24a1","Collagens","matrisome","36399478"
"43","col4a5","Collagens","matrisome","36399478"
"44","col9a2","Collagens","matrisome","36399478"
"45","col19a1","Collagens","matrisome","36399478"
"46","col11a1","Collagens","matrisome","36399478"
"47","col10a1","Collagens","matrisome","36399478"
"48","col16a1","Collagens","matrisome","36399478"
"49","col9a1","Collagens","matrisome","36399478"
"50","col23a1","Collagens","matrisome","36399478"
"51","col27a1","Collagens","matrisome","36399478"
"52","col24a1","Collagens","matrisome","36399478"
"53","col9a3","Collagens","matrisome","36399478"
"54","col25a1","Collagens","matrisome","36399478"
"55","col28a1","Collagens","matrisome","36399478"
"56","col15a1","Collagens","matrisome","36399478"
"57","col18a1","Collagens","matrisome","36399478"
"58","col17a1","Collagens","matrisome","36399478"
"59","col8a2","Collagens","matrisome","36399478"
"60","col9a1","Collagens","matrisome","36399478"
"61","col6a6","Collagens","matrisome","36399478"
"62","col9a2","Collagens","matrisome","36399478"
"63","col19a1","Collagens","matrisome","36399478"
"64","col15a1","Collagens","matrisome","36399478"
"65","col13a1","Collagens","matrisome","36399478"
"66","col10a1","Collagens","matrisome","36399478"
"67","col17a1","Collagens","matrisome","36399478"
"68","col21a1","Collagens","matrisome","36399478"
"69","col6a4","Collagens","matrisome","36399478"
"70","col28a1","Collagens","matrisome","36399478"
"71","col6a5","Collagens","matrisome","36399478"
"72","col23a1","Collagens","matrisome","36399478"
"73","col6a6","Collagens","matrisome","36399478"
"74","col8a1","Collagens","matrisome","36399478"
"75","col13a1","Collagens","matrisome","36399478"
"76","col6a5","Collagens","matrisome","36399478"
"77","col8a2","Collagens","matrisome","36399478"
"78","col8a1","Collagens","matrisome","36399478"
"79","col20a1","Collagens","matrisome","36399478"
"80","col25a1","Collagens","matrisome","36399478"
"81","col26a1","Collagens","matrisome","36399478"
"82","col20a1","Collagens","matrisome","36399478"
"83","col26a1","Collagens","matrisome","36399478"
"85","hpx","ECMaffiliated","matrisome","36399478"
"86","anxa5","ECMaffiliated","matrisome","36399478"
"87","sftpa1","ECMaffiliated","matrisome","36399478"
"88","anxa2","ECMaffiliated","matrisome","36399478"
"89","anxa6","ECMaffiliated","matrisome","36399478"
"90","anxa6","ECMaffiliated","matrisome","36399478"
"91","sftpd","ECMaffiliated","matrisome","36399478"
"92","anxa1","ECMaffiliated","matrisome","36399478"
"93","anxa3","ECMaffiliated","matrisome","36399478"
"94","anxa2","ECMaffiliated","matrisome","36399478"
"95","anxa5","ECMaffiliated","matrisome","36399478"
"96","anxa4","ECMaffiliated","matrisome","36399478"
"97","lgals1","ECMaffiliated","matrisome","36399478"
"98","sftpb","ECMaffiliated","matrisome","36399478"
"99","anxa1","ECMaffiliated","matrisome","36399478"
"100","lgals3","ECMaffiliated","matrisome","36399478"
"101","lgals9","ECMaffiliated","matrisome","36399478"
"102","anxa7","ECMaffiliated","matrisome","36399478"
"103","frem2","ECMaffiliated","matrisome","36399478"
"104","anxa11","ECMaffiliated","matrisome","36399478"
"105","cspg4","ECMaffiliated","matrisome","36399478"
"106","muc2","ECMaffiliated","matrisome","36399478"
"107","c1qc","ECMaffiliated","matrisome","36399478"
"108","frem1","ECMaffiliated","matrisome","36399478"
"109","hpx","ECMaffiliated","matrisome","36399478"
"110","anxa4","ECMaffiliated","matrisome","36399478"
"111","muc5ac","ECMaffiliated","matrisome","36399478"
"112","lman1","ECMaffiliated","matrisome","36399478"
"113","clec3a","ECMaffiliated","matrisome","36399478"
"114","lgals1","ECMaffiliated","matrisome","36399478"
"115","c1qb","ECMaffiliated","matrisome","36399478"
"116","sema7a","ECMaffiliated","matrisome","36399478"
"117","plxnb2","ECMaffiliated","matrisome","36399478"
"118","frem2","ECMaffiliated","matrisome","36399478"
"119","muc16","ECMaffiliated","matrisome","36399478"
"120","muc2","ECMaffiliated","matrisome","36399478"
"121","plxna4","ECMaffiliated","matrisome","36399478"
"122","muc19","ECMaffiliated","matrisome","36399478"
"123","colec12","ECMaffiliated","matrisome","36399478"
"124","anxa8","ECMaffiliated","matrisome","36399478"
"125","gpc1","ECMaffiliated","matrisome","36399478"
"126","plxna1","ECMaffiliated","matrisome","36399478"
"127","sftpc","ECMaffiliated","matrisome","36399478"
"128","sema3c","ECMaffiliated","matrisome","36399478"
"129","lgals4","ECMaffiliated","matrisome","36399478"
"130","elfn2","ECMaffiliated","matrisome","36399478"
"131","reg3g","ECMaffiliated","matrisome","36399478"
"132","lgals4","ECMaffiliated","matrisome","36399478"
"133","lgals7","ECMaffiliated","matrisome","36399478"
"134","plxdc2","ECMaffiliated","matrisome","36399478"
"135","sema3c","ECMaffiliated","matrisome","36399478"
"136","gpc4","ECMaffiliated","matrisome","36399478"
"137","anxa11","ECMaffiliated","matrisome","36399478"
"138","muc4","ECMaffiliated","matrisome","36399478"
"139","frem1","ECMaffiliated","matrisome","36399478"
"140","c1qa","ECMaffiliated","matrisome","36399478"
"141","sdc3","ECMaffiliated","matrisome","36399478"
"142","plxnb2","ECMaffiliated","matrisome","36399478"
"143","c1ql3","ECMaffiliated","matrisome","36399478"
"144","clec3b","ECMaffiliated","matrisome","36399478"
"145","fcn1","ECMaffiliated","matrisome","36399478"
"146","plxna2","ECMaffiliated","matrisome","36399478"
"147","cspg4","ECMaffiliated","matrisome","36399478"
"148","mbl1","ECMaffiliated","matrisome","36399478"
"149","plxna4","ECMaffiliated","matrisome","36399478"
"150","muc6","ECMaffiliated","matrisome","36399478"
"151","lgals3","ECMaffiliated","matrisome","36399478"
"152","c1qa","ECMaffiliated","matrisome","36399478"
"153","grem1","ECMaffiliated","matrisome","36399478"
"154","anxa3","ECMaffiliated","matrisome","36399478"
"155","c1qb","ECMaffiliated","matrisome","36399478"
"156","c1ql3","ECMaffiliated","matrisome","36399478"
"157","plxnd1","ECMaffiliated","matrisome","36399478"
"158","plxna1","ECMaffiliated","matrisome","36399478"
"159","c1qc","ECMaffiliated","matrisome","36399478"
"160","lgals6","ECMaffiliated","matrisome","36399478"
"161","sema3b","ECMaffiliated","matrisome","36399478"
"162","clec3b","ECMaffiliated","matrisome","36399478"
"163","elfn1","ECMaffiliated","matrisome","36399478"
"164","anxa9","ECMaffiliated","matrisome","36399478"
"165","anxa7","ECMaffiliated","matrisome","36399478"
"166","grem1","ECMaffiliated","matrisome","36399478"
"167","plxna2","ECMaffiliated","matrisome","36399478"
"168","clec11a","ECMaffiliated","matrisome","36399478"
"169","clec3a","ECMaffiliated","matrisome","36399478"
"170","lman1","ECMaffiliated","matrisome","36399478"
"171","colec12","ECMaffiliated","matrisome","36399478"
"172","gpc1","ECMaffiliated","matrisome","36399478"
"173","fcn2","ECMaffiliated","matrisome","36399478"
"174","mbl2","ECMaffiliated","matrisome","36399478"
"175","fcn3","ECMaffiliated","matrisome","36399478"
"176","plxnb1","ECMaffiliated","matrisome","36399478"
"177","muc5b","ECMaffiliated","matrisome","36399478"
"178","lgalsl","ECMaffiliated","matrisome","36399478"
"179","anxa8","ECMaffiliated","matrisome","36399478"
"180","anxa8l1","ECMaffiliated","matrisome","36399478"
"181","c1qtnf3","ECMaffiliated","matrisome","36399478"
"182","plxna3","ECMaffiliated","matrisome","36399478"
"183","c1qtnf3","ECMaffiliated","matrisome","36399478"
"184","cspg5","ECMaffiliated","matrisome","36399478"
"185","c1qtnf7","ECMaffiliated","matrisome","36399478"
"186","plxnd1","ECMaffiliated","matrisome","36399478"
"187","clec14a","ECMaffiliated","matrisome","36399478"
"188","lgals8","ECMaffiliated","matrisome","36399478"
"189","clec18a","ECMaffiliated","matrisome","36399478"
"190","plxnc1","ECMaffiliated","matrisome","36399478"
"191","sema3e","ECMaffiliated","matrisome","36399478"
"192","sema3f","ECMaffiliated","matrisome","36399478"
"193","clec18b","ECMaffiliated","matrisome","36399478"
"194","clec18c","ECMaffiliated","matrisome","36399478"
"195","c1qtnf4","ECMaffiliated","matrisome","36399478"
"196","colec11","ECMaffiliated","matrisome","36399478"
"197","plxna3","ECMaffiliated","matrisome","36399478"
"198","muc12","ECMaffiliated","matrisome","36399478"
"199","gpc5","ECMaffiliated","matrisome","36399478"
"200","gpc4","ECMaffiliated","matrisome","36399478"
"201","elfn2","ECMaffiliated","matrisome","36399478"
"202","c1qtnf4","ECMaffiliated","matrisome","36399478"
"203","sema3g","ECMaffiliated","matrisome","36399478"
"204","muc1","ECMaffiliated","matrisome","36399478"
"205","sftpd","ECMaffiliated","matrisome","36399478"
"206","cspg5","ECMaffiliated","matrisome","36399478"
"207","sema7a","ECMaffiliated","matrisome","36399478"
"208","sema3a","ECMaffiliated","matrisome","36399478"
"209","ovgp1","ECMaffiliated","matrisome","36399478"
"210","anxa13","ECMaffiliated","matrisome","36399478"
"211","muc17","ECMaffiliated","matrisome","36399478"
"212","sema5b","ECMaffiliated","matrisome","36399478"
"213","sema4d","ECMaffiliated","matrisome","36399478"
"214","c1qtnf2","ECMaffiliated","matrisome","36399478"
"215","plxnc1","ECMaffiliated","matrisome","36399478"
"216","sema3b","ECMaffiliated","matrisome","36399478"
